,Product Name,Price,Description,Images,Rate,Link
10,Infinix INBook X2 Plus Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Lapto...,"₹41,990",Intel Core i5 Processor (11th Gen)16 GB LPDDR4X RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"<img alt=""Infinix INBook X2 Plus Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Lapto..."" class=""_396cs4"" loading=""eager"" src=""https://rukminim1.flixcart.com/image/312/312/xif0q/computer/i/f/r/-original-imagjfgyxmcz7scf.jpeg?q=70""/>",,https://www.flipkart.com/infinix-inbook-x2-plus-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-xl25-thin-light-laptop/p/itm3235b92460ca6?pid=COMGGQE9YZ7PAQ6N&lid=LSTCOMGGQE9YZ7PAQ6NH66AYM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=2daa57f0-6904-4bd5-8cb4-198551ceace2.COMGGQE9YZ7PAQ6N.SEARCH&ppt=None&ppn=None&ssid=fvbwnd5d8g0000001682623251176&qH=312f91285e048e09
11,Lenovo IdeaPad 3 Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Lap...,"₹60,990",Intel Core i5 Processor (12th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Years Onsite�Warranty,"<img alt=""Lenovo IdeaPad 3 Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Lap..."" class=""_396cs4"" loading=""eager"" src=""https://rukminim1.flixcart.com/image/312/312/xif0q/computer/a/c/3/-original-imagg56h9gat842s.jpeg?q=70""/>",,https://www.flipkart.com/lenovo-ideapad-3-intel-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-15iau7-thin-light-laptop/p/itmb696704ad257e?pid=COMGHA9RYJRG8JE6&lid=LSTCOMGHA9RYJRG8JE6DAGDGQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_nbsnkqUj%2BgC4xa2Irw3dFMZgaKMM1ZLsLa%2FwT%2FCG402r8S26VYY3cMCCPW5DOqc8unxuIWxFoqGU2ruOTXR1KA%3D%3D&ppt=None&ppn=None&ssid=fvbwnd5d8g0000001682623251176&qH=312f91285e048e09
12,Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL30 Thin and...,"₹25,490",Intel Celeron Quad Core Processor (11th Gen)8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"<img alt=""Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL30 Thin and..."" class=""_396cs4"" loading=""eager"" src=""https://rukminim1.flixcart.com/image/312/312/xif0q/computer/t/z/o/xl30-thin-and-light-laptop-infinix-original-imagzmncf5snymhu.jpeg?q=70""/>",,https://www.flipkart.com/infinix-y1-plus-neo-intel-celeron-quad-core-11th-gen-8-gb-512-gb-ssd-windows-11-home-xl30-thin-light-laptop/p/itmfb69fd4852e96?pid=COMGZ7YCE88QP2XM&lid=LSTCOMGZ7YCE88QP2XMLNHHNY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=TrendingId_6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=2daa57f0-6904-4bd5-8cb4-198551ceace2.COMGZ7YCE88QP2XM.SEARCH&ppt=None&ppn=None&ssid=fvbwnd5d8g0000001682623251176&qH=312f91285e048e09
13,Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and...,"₹22,990",Intel Celeron Quad Core Processor (11th Gen)8 GB LPDDR4X RAMWindows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"<img alt=""Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and..."" class=""_396cs4"" loading=""eager"" src=""https://rukminim1.flixcart.com/image/312/312/xif0q/computer/t/z/o/xl30-thin-and-light-laptop-infinix-original-imagzmncf5snymhu.jpeg?q=70""/>",,https://www.flipkart.com/infinix-y1-plus-neo-intel-celeron-quad-core-11th-gen-8-gb-256-gb-ssd-windows-11-home-xl30-thin-light-laptop/p/itm8bed445f333bc?pid=COMGZ7YCAXM2AFNU&lid=LSTCOMGZ7YCAXM2AFNU669ODD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=2daa57f0-6904-4bd5-8cb4-198551ceace2.COMGZ7YCAXM2AFNU.SEARCH&ppt=None&ppn=None&ssid=fvbwnd5d8g0000001682623251176&qH=312f91285e048e09
14,ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹63,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD43.94 cm (17.3 Inch) Display1 Year Onsite Warranty,"<img alt=""ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 11 Ho..."" class=""_396cs4"" loading=""eager"" src=""https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/z/2/c/-original-imagetjyhhtrtkdg.jpeg?q=70""/>",,https://www.flipkart.com/asus-tuf-gaming-a17-90whr-battery-ryzen-5-hexa-core-amd-r5-4600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fa706ihrb-hx041w-laptop/p/itm210385fd14c7a?pid=COMGFYQZZFRKBNWV&lid=LSTCOMGFYQZZFRKBNWVYP70VR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=2daa57f0-6904-4bd5-8cb4-198551ceace2.COMGFYQZZFRKBNWV.SEARCH&ppt=None&ppn=None&ssid=fvbwnd5d8g0000001682623251176&qH=312f91285e048e09
15,Lenovo IdeaPad 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Lapt...,"₹52,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display2 Years Onsite Warranty,"<img alt=""Lenovo IdeaPad 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Lapt..."" class=""_396cs4"" loading=""eager"" src=""https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70""/>",,https://www.flipkart.com/lenovo-ideapad-3-intel-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-15itl6-thin-light-laptop/p/itm10f8ac508106e?pid=COMGGR9SBTFZCNDU&lid=LSTCOMGGR9SBTFZCNDU84OXGZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=en_nbsnkqUj%2BgC4xa2Irw3dFMZgaKMM1ZLsLa%2FwT%2FCG402Xr1QrL49%2FG1vR%2Bec18lPy6%2Bo3pAvqpk5Kp67wXhEkIA%3D%3D&ppt=None&ppn=None&ssid=fvbwnd5d8g0000001682623251176&qH=312f91285e048e09
16,HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,"₹40,490",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,"<img alt=""HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop"" class=""_396cs4"" loading=""eager"" src=""https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/h/i/p/14s-dy5005tu-thin-and-light-laptop-hp-original-imagg4rc7n75zqkp.jpeg?q=70""/>",,https://www.flipkart.com/hp-14s-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-dy2508tu-thin-light-laptop/p/itm49f4531237a12?pid=COMGGTT4VFWG3FFM&lid=LSTCOMGGTT4VFWG3FFMB7VNLU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=2daa57f0-6904-4bd5-8cb4-198551ceace2.COMGGTT4VFWG3FFM.SEARCH&ppt=None&ppn=None&ssid=fvbwnd5d8g0000001682623251176&qH=312f91285e048e09
17,RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,"₹37,990","Intel Core i5 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMS Office Home & Student 2019, Mi Smart Share, DTS Audio processing1 Year Onsite Warranty","<img alt=""RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop"" class=""_396cs4"" loading=""eager"" src=""https://rukminim1.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70""/>",,https://www.flipkart.com/redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=2daa57f0-6904-4bd5-8cb4-198551ceace2.COMG4Z359A4Z3MFG.SEARCH&ppt=None&ppn=None&ssid=fvbwnd5d8g0000001682623251176&qH=312f91285e048e09
18,APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"₹84,490","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty","<img alt=""APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A"" class=""_396cs4"" loading=""eager"" src=""https://rukminim1.flixcart.com/image/312/312/kp5sya80/screen-guard/tempered-glass/o/v/n/apple-macbook-air-m1-13-3-inch-lightwings-original-imag3gh5xftgbpg3.jpeg?q=70""/>",,https://www.flipkart.com/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itmde54f026889ce?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=2daa57f0-6904-4bd5-8cb4-198551ceace2.COMFXEKMGNHZYFH9.SEARCH&ppt=None&ppn=None&ssid=fvbwnd5d8g0000001682623251176&qH=312f91285e048e09
19,HP 14s Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Light Lapto...,"₹61,990",Intel Core i5 Processor (12th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,"<img alt=""HP 14s Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Light Lapto..."" class=""_396cs4"" loading=""eager"" src=""https://rukminim1.flixcart.com/image/312/312/xif0q/computer/t/q/2/-original-imagkqwzyzfahqac.jpeg?q=70""/>",,https://www.flipkart.com/hp-14s-intel-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-dy5005tu-thin-light-laptop/p/itm9372d97b214bd?pid=COMGG3S93DSUQPMU&lid=LSTCOMGG3S93DSUQPMUWKX9QS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_nbsnkqUj%2BgC4xa2Irw3dFMZgaKMM1ZLsLa%2FwT%2FCG403nr9%2FSWIGPME6V%2FJ5bGrkkAK2583GW6MaOcomvelhSEA%3D%3D&ppt=None&ppn=None&ssid=fvbwnd5d8g0000001682623251176&qH=312f91285e048e09
